epoch,when,parent_epoch,champion_genome_json,confirmation_win_rate,confirmation_n,confirmation_wilson_lower,generations_to_promote,label
0,2026-07-09T10:25:47,,"{""advance_vs_hold_bias"": 0.48079810951057894, ""charge_aggression"": 0.7131280818765162, ""charge_range_buffer"": 1.009320431239338, ""kite_hold_range"": 0.64301785705314, ""melee_engage_score_min"": 3.087674868772651}",0.5550,500,0.5112,4,
1,2026-07-09T10:26:53,0,"{""advance_vs_hold_bias"": 1.3674406143082503, ""charge_aggression"": 0.8467169400696585, ""charge_range_buffer"": 0.48176847239617815, ""kite_hold_range"": 0.978451026978487, ""melee_engage_score_min"": 2.0319545830907115}",0.5530,500,0.5092,5,
0,2026-07-09T11:03:56,,"{""advance_vs_hold_bias"": -1.468873613487519, ""charge_aggression"": 0.965097235595815, ""charge_range_buffer"": 1.542181549877178, ""kite_hold_range"": 0.3530379095180112, ""melee_engage_score_min"": 7.8746451792235606}",0.6250,500,0.5818,10,
1,2026-07-09T11:06:05,0,"{""advance_vs_hold_bias"": -2.4901031700001446, ""charge_aggression"": 0.7890319879898966, ""charge_range_buffer"": 1.39092920586603, ""kite_hold_range"": 1.1710666796860052, ""melee_engage_score_min"": 7.863215518441044}",0.5750,500,0.5313,12,
